"5000169940518","5000169940518","EAN_13","1389977945980","17 Jan 2014 16:59:05",""
"5036589201137","5036589201137","EAN_13","1389977904032","17 Jan 2014 16:58:24","Amazon GB HOMETEK [£8.50]"
"5000108028635","5000108028635","EAN_13","1389977761856","17 Jan 2014 16:56:01",""
"5000169220078","5000169220078","EAN_13","1389977661785","17 Jan 2014 16:54:21",""
"08457725","08457725","UPC_E","1389977623069","17 Jan 2014 16:53:43",""
"80177128","80177128","EAN_8","1389977455165","17 Jan 2014 16:50:55",""
"5013665111634","5013665111634","EAN_13","1389977414640","17 Jan 2014 16:50:14",""
"5018190009036","5018190009036","EAN_13","1389977362821","17 Jan 2014 16:49:22","Amazon GB Cafe Direct Rich Roast Ground Coffee Fairtrade 227g Ref A06727 [£6.08]"
"5018190009449","5018190009449","EAN_13","1389977328541","17 Jan 2014 16:48:48","Amazon GB Cafe Direct Machu Pichu Coffee Roast & Ground 227g Ref A07354 [£3.89]"
"061232200293","061232200293","UPC_A","1389977184687","17 Jan 2014 16:46:24","Amazon GB Organic Oat Cakes [£1.39]"
"5010254004025","5010254004025","EAN_13","1389977161302","17 Jan 2014 16:46:01",""
"5060065064114","5060065064114","EAN_13","1389977030159","17 Jan 2014 16:43:50","Amazon GB Great British Treacle Tart Bar [£2.11]"
"5060065062448","5060065062448","EAN_13","1389977002593","17 Jan 2014 16:43:22","Amazon GB Org Bean Machine Bar [£2.11]"
"5000362104755","5000362104755","EAN_13","1389976782755","17 Jan 2014 16:39:42","Amazon US HP Pavilion DV2018tx Battery Replacement Ultra High Capacity"
"5202853102312","5202853102312","EAN_13","1389976753438","17 Jan 2014 16:39:13",""
"5000169029565","5000169029565","EAN_13","1389976561464","17 Jan 2014 16:36:01",""
"5000169244050","5000169244050","EAN_13","1389976436152","17 Jan 2014 16:33:56",""
